frame,baseline_free_events_cumulative,custom_pool_free_blocks,custom_slab_free_blocks
0,0,0,10000
100,703,2,9297
200,1401,3,8596
300,2098,4,7904
400,2791,4,7219
500,3487,5,6543
600,4178,5,5878
700,4874,6,5212
800,5569,6,4548
900,6262,7,3893
1000,6952,7,3245
1100,7637,8,2611
1200,8327,8,1988
1300,9014,8,1382
1400,9699,9,797
1500,10385,9,231
1600,11068,9,0
1700,11749,10,0
1800,12428,10,0
1900,13110,11,0
2000,13787,11,0
2100,14463,12,0
2200,15138,12,0
2300,15810,13,0
2400,16483,13,0
2500,17153,13,0
2600,17821,14,0
2700,18489,14,0
2800,19155,14,0
2900,19819,15,0
3000,20481,15,0
